payroll_id,employee_id,payroll_date,gross_pay,deductions,net_pay
1,1,2025-06-24,9264.0,1401.0,7863.0
2,1,2025-05-25,6557.0,703.0,5854.0
3,1,2025-04-25,5955.0,960.0,4995.0
4,1,2025-03-26,3991.0,1160.0,2831.0
5,1,2025-02-24,4097.0,908.0,3189.0
6,1,2025-01-25,4940.0,1763.0,3177.0
7,2,2025-06-24,7482.0,1144.0,6338.0
8,2,2025-05-25,8409.0,1516.0,6893.0
9,2,2025-04-25,5813.0,1707.0,4106.0
10,2,2025-03-26,8222.0,1485.0,6737.0
11,2,2025-02-24,7131.0,1857.0,5274.0
12,2,2025-01-25,5211.0,1106.0,4105.0
13,3,2025-06-24,3149.0,1775.0,1374.0
14,3,2025-05-25,8606.0,1773.0,6833.0
15,3,2025-04-25,4476.0,1056.0,3420.0
16,3,2025-03-26,4603.0,1524.0,3079.0
17,3,2025-02-24,7492.0,1952.0,5540.0
18,3,2025-01-25,9825.0,725.0,9100.0
19,4,2025-06-24,5554.0,1400.0,4154.0
20,4,2025-05-25,4425.0,724.0,3701.0
21,4,2025-04-25,3397.0,1432.0,1965.0
22,4,2025-03-26,7343.0,1582.0,5761.0
23,4,2025-02-24,7599.0,1754.0,5845.0
24,4,2025-01-25,7610.0,1619.0,5991.0
25,5,2025-06-24,9040.0,1849.0,7191.0
26,5,2025-05-25,6078.0,1359.0,4719.0
27,5,2025-04-25,5600.0,1745.0,3855.0
28,5,2025-03-26,9521.0,1191.0,8330.0
29,5,2025-02-24,4857.0,1177.0,3680.0
30,5,2025-01-25,7049.0,796.0,6253.0
31,6,2025-06-24,7256.0,1978.0,5278.0
32,6,2025-05-25,9043.0,553.0,8490.0
33,6,2025-04-25,9049.0,1486.0,7563.0
34,6,2025-03-26,9603.0,786.0,8817.0
35,6,2025-02-24,3011.0,672.0,2339.0
36,6,2025-01-25,7603.0,538.0,7065.0
37,7,2025-06-24,9982.0,783.0,9199.0
38,7,2025-05-25,9266.0,724.0,8542.0
39,7,2025-04-25,3450.0,1157.0,2293.0
40,7,2025-03-26,5554.0,1867.0,3687.0
41,7,2025-02-24,4587.0,628.0,3959.0
42,7,2025-01-25,8531.0,598.0,7933.0
43,8,2025-06-24,9212.0,970.0,8242.0
44,8,2025-05-25,8996.0,863.0,8133.0
